ROP (m/hr),RPM (rpm),WOB (klb),Hookload,Torque (f-kp),Discharge (GPM),SPP (psi),Total SPM (spm),Flow Out (%)
11.02,146,16.8,152,7.61,553,2196,111,25
11.06,145,19.2,150.3,8.74,551,2220,111,25
11.09,145,19.1,150.3,8.55,552,2236,111,25
11.12,146,19,150.2,8.36,553,2203,111,25
11.51,145,19.1,149.9,7.51,550,2213,111,25
11.39,146,18.5,150.5,8.42,551,2203,111,25
11.59,145,19.7,150.2,7.46,552,2210,111,25
12.03,146,21.4,148.5,7.88,552,2221,111,25
12.01,146,20.9,148.7,8.33,551,2228,111,25
11.85,144,20.8,147.7,7.67,551,2217,111,25
11.75,146,19.2,150.3,8.46,551,2211,111,25
11.5,147,16.8,152.5,8.46,551,2206,111,25
12.01,146,17.5,152.1,7.89,551,2211,111,25
12.16,145,20.1,150.3,7.74,552,2212,111,25
12.07,146,17.6,151.3,7.95,552,2211,111,25
12.45,147,19.3,152.9,7.85,552,2221,111,25
12.61,148,20.1,148.8,7.67,552,2206,111,25
12.71,146,19.5,149.1,7.71,551,2219,111,25
12.69,145,19.7,150.5,7.72,551,2231,111,25
12.54,145,18.9,150,7.78,552,2226,111,25
12.56,146,19.7,148.7,7.73,552,2222,111,25
12.62,145,18.2,150.9,7.98,552,2207,111,25
12.4,146,18.2,151.9,7.83,552,2210,111,25
12.23,146,17.8,152,8.28,550,2220,111,25
12.36,146,20,149.8,7.92,552,2208,111,25
13.4,144,22.3,146.2,7.82,551,2220,111,25
13.4,146,20.8,148,7.98,551,2220,111,25
12.7,147,21,148.3,7.8,552,2206,111,25
12.58,145,19.4,150.2,7.66,552,2211,111,25
12.4,144,20,150.1,7.77,552,2197,111,25
12.37,146,18.2,151.1,7.56,551,2212,111,25
12.56,146,20.5,149.6,7.75,551,2229,111,25
12.58,145,21.9,147.4,8.16,551,2209,111,25
12.6,147,21.3,148.1,7.99,551,2221,111,25
12.15,147,19.2,149,7.68,553,2206,111,25
11.98,147,18.6,150.3,7.76,552,2218,111,25
11.98,145,17.5,152.3,7.82,552,2219,111,25
11.64,146,18,151.4,7.32,551,2226,111,25
9.75,74,5.9,163.8,6.6,552,2241,111,25
11.28,147,16,153.2,6.95,552,2227,111,25
11.1,147,15.4,153.5,7.14,551,2197,111,25
10.84,145,14.3,154.9,6.83,551,2212,111,25
10.73,147,16.8,153.9,7.1,552,2205,111,25
10.64,145,16.7,152.4,7.14,552,2226,111,25
10.6,145,17.5,152,7.24,551,2217,111,25
10.51,145,19.7,149.4,7.45,553,2209,111,25
10.47,145,19.7,149.4,7.52,551,2211,111,25
10.58,146,19.8,150,7.6,553,2212,111,25
10.49,146,20.5,148.8,7.64,552,2229,111,25
10.63,146,23,146.7,7.8,551,2224,111,25
10.47,146,20.9,148.8,7.41,552,2214,111,25
10.34,145,20.9,148.5,7.68,552,2228,111,25
10.09,145,19.8,149.6,7.54,551,2234,111,25
9.94,147,19.3,151.6,7.67,551,2225,111,25
9.78,145,17.5,151.6,7.17,551,2211,111,25
9.45,145,16.4,153.2,6.79,552,2208,111,25
9.48,145,15,157.6,7.11,551,2214,111,25
9.75,140,8.7,159.6,4.54,551,2217,111,25
9.73,145,10.7,155.8,6.95,552,2221,111,25
9.75,147,14.9,154.4,7.25,551,2211,111,25
